target,feature,importance
target_1h,market_regime,0.416333055702981
target_1h,btcd,0.23293481692803525
target_1h,fgi_value,0.2113107303709941
target_1h,volatility_24h,0.05384873079001604
target_1h,volatility_72h,0.02309129735502805
target_1h,bb_width,0.023051133866871684
target_1h,roc_24,0.00904447101974224
target_1h,fgi_change_24h,0.008678928414327342
target_1h,return_24h,0.008158770423049713
target_1h,btcd_change_24h,0.005164493630651267
target_1h,return_6h,0.0015591355975739026
target_1h,rsi_14,0.000822059519666249
target_1h,return_1h,0.0007855821420320862
target_1h,volume,0.0006337947505130953
target_1h,atr_14,0.0005254688438808934
target_1h,ema_26,0.0005176506491735447
target_1h,ema_12,0.0004876203526849468
target_1h,macd_signal,0.00043753461621573426
target_1h,macd,0.0004089434216096232
target_1h,open,0.000388302737676298
target_1h,macd_hist,0.00037150478734989837
target_1h,low,0.00034150559885328747
target_1h,close,0.00033794739243519015
target_1h,high,0.00029876141716397625
target_1h,volume_ma24_ratio,0.000277687961992192
target_1h,volume_change,0.0001900717094823403
target_24h,market_regime,0.30229842628734627
target_24h,btcd,0.2807126761881494
target_24h,fgi_value,0.24055509617324294
target_24h,btcd_change_24h,0.03310937551872043
target_24h,fgi_change_24h,0.029126710378016764
target_24h,volatility_24h,0.02540776071243402
target_24h,volatility_72h,0.024740257479893377
target_24h,bb_width,0.01397301475640682
target_24h,roc_24,0.006606105081331998
target_24h,return_24h,0.006521801604843729
target_24h,macd_signal,0.0033928234508328456
target_24h,macd,0.003141258499723084
target_24h,return_6h,0.0030769419526856475
target_24h,ema_26,0.002986357649925683
target_24h,ema_12,0.0029797711660756775
target_24h,close,0.002545918791505504
target_24h,low,0.0025455289560731608
target_24h,high,0.0025372194114071565
target_24h,open,0.0024021522676493045
target_24h,atr_14,0.0023091006682396677
target_24h,volume,0.0022991294730199006
target_24h,rsi_14,0.0021417108017094356
target_24h,macd_hist,0.0019393898579673692
target_24h,return_1h,0.0013643952155932724
target_24h,volume_ma24_ratio,0.0009988886544128029
target_24h,volume_change,0.00028818900279388156
target_30d,btcd,0.378403363532734
target_30d,fgi_value,0.19320442452955675
target_30d,market_regime,0.1496978643599125
target_30d,btcd_change_24h,0.07760701447140853
target_30d,fgi_change_24h,0.07454073881067243
target_30d,volatility_72h,0.024070161160402018
target_30d,volatility_24h,0.016050292821576106
target_30d,ema_26,0.008069717496705424
target_30d,bb_width,0.007657527463242179
target_30d,ema_12,0.007652804210300483
target_30d,macd_signal,0.007313452758566769
target_30d,high,0.006050390086250659
target_30d,low,0.006014162412086474
target_30d,close,0.00598715212932134
target_30d,open,0.005888523485489844
target_30d,macd,0.005213468638760297
target_30d,roc_24,0.005133437755187661
target_30d,return_24h,0.004901100411303886
target_30d,atr_14,0.004219054581025223
target_30d,volume,0.003370749811613103
target_30d,macd_hist,0.0027703070749095717
target_30d,rsi_14,0.0026454083652029717
target_30d,return_6h,0.0018689154731460383
target_30d,volume_ma24_ratio,0.0008191829541897466
target_30d,return_1h,0.0005510281817027345
target_30d,volume_change,0.0002997570247334683
target_6h,market_regime,0.3836754506745392
target_6h,btcd,0.22803832718637518
target_6h,fgi_value,0.22365501614983002
target_6h,volatility_24h,0.04901327435446726
target_6h,bb_width,0.04071271014218014
target_6h,volatility_72h,0.02078438352758997
target_6h,fgi_change_24h,0.010780618487555073
target_6h,roc_24,0.008429313507796042
target_6h,btcd_change_24h,0.008051604875898405
target_6h,return_24h,0.007644072838417634
target_6h,return_6h,0.003064704857852153
target_6h,rsi_14,0.0020447855090765005
target_6h,return_1h,0.0016163055481979828
target_6h,macd_hist,0.001355790463819596
target_6h,macd_signal,0.001339973636539331
target_6h,volume,0.0011840391089013814
target_6h,macd,0.0011703349052226576
target_6h,atr_14,0.0010767360290896847
target_6h,ema_12,0.001014670659664813
target_6h,ema_26,0.0010129208829862326
target_6h,volume_ma24_ratio,0.0008940703597060099
target_6h,low,0.0008219814179816014
target_6h,open,0.0007981821992730266
target_6h,close,0.0007409351241529797
target_6h,high,0.0007293764696546653
target_6h,volume_change,0.00035042108323252115
target_7d,btcd,0.33750346229357164
target_7d,fgi_value,0.24398777831946047
target_7d,market_regime,0.21428146124761532
target_7d,fgi_change_24h,0.0506428913294256
target_7d,btcd_change_24h,0.04867087924336301
target_7d,volatility_72h,0.019700618393011834
target_7d,volatility_24h,0.015898129847018577
target_7d,bb_width,0.008577566688708634
target_7d,ema_26,0.006118752729746625
target_7d,ema_12,0.005656199921685516
target_7d,macd_signal,0.004811003384102497
target_7d,low,0.004482955049904468
target_7d,high,0.004425760117730123
target_7d,close,0.004419953059679642
target_7d,return_24h,0.004379482279853263
target_7d,open,0.004354660854175549
target_7d,roc_24,0.004241530404198872
target_7d,macd,0.0037764547060673177
target_7d,atr_14,0.0036615637601427444
target_7d,volume,0.0031463531287875732
target_7d,macd_hist,0.002191510575698993
target_7d,rsi_14,0.0021225185879109373
target_7d,return_6h,0.001558543615703408
target_7d,volume_ma24_ratio,0.0006619356299224176
target_7d,return_1h,0.0004771041769699449
target_7d,volume_change,0.0002509306555450149
